"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que un encargado pueda eliminar un grupo de vendedores completo y reciba confirmación de éxito","11278","Puede eliminar un grupo de vendedores y ver confirmación","chromium","Fri Aug 08 16:20:53 GMT-03:00 2025","passed","Fri Aug 08 16:21:05 GMT-03:00 2025","Gestión de Grupos de Vendedores","","",""
"Verifica que un encargado pueda editar un cupón DNI existente y recibir confirmación de la modificación","45349","Puede editar un cupón DNI y ver confirmación","chromium","Fri Aug 08 16:13:25 GMT-03:00 2025","passed","Fri Aug 08 16:14:10 GMT-03:00 2025","Gestión de Cupones > DNIs","","",""
"","7091","Debe mostrar modal al hacer clic en ""Olvide mi Contraseña""","chromium","Fri Aug 08 16:27:00 GMT-03:00 2025","passed","Fri Aug 08 16:27:07 GMT-03:00 2025","Tests del login","","",""
"Verifica que un encargado pueda eliminar un cupón de un grupo de cupones DNIsPago existente y reciba confirmación de éxito","14363","Puede eliminar un cupón de un grupo de cupones DNIsPago y ver confirmación","chromium","Fri Aug 08 16:24:04 GMT-03:00 2025","passed","Fri Aug 08 16:24:18 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","","",""
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón QR sin nombre","19054","Muestra error cuando no se ingresa el nombre del cupón QR","chromium","Fri Aug 08 16:17:03 GMT-03:00 2025","passed","Fri Aug 08 16:17:23 GMT-03:00 2025","Gestión de Cupones > QR's","","",""
"Verifica que un encargado pueda agregar un nuevo vendedor al sistema y recibir confirmación de éxito","10945","Puede agregar un nuevo vendedor y ver confirmación","chromium","Fri Aug 08 16:24:30 GMT-03:00 2025","passed","Fri Aug 08 16:24:41 GMT-03:00 2025","Gestión de Roles > Gestión de Vendedores","","",""
"Verifica que se muestre un mensaje de error cuando se intenta agregar un canjeador con rol ya existente","10594","Muestra mensaje si el canjeador ya posee el rol indicado","chromium","Fri Aug 08 16:25:20 GMT-03:00 2025","passed","Fri Aug 08 16:25:30 GMT-03:00 2025","Gestión de Roles > Gestión de Canjeadores","","",""
"Verifica que un encargado pueda eliminar un cupón QR existente y recibir confirmación de la eliminación","14022","Puede eliminar un cupón QR y ver confirmación","chromium","Fri Aug 08 16:18:07 GMT-03:00 2025","passed","Fri Aug 08 16:18:21 GMT-03:00 2025","Gestión de Cupones > QR's","","",""
"","7073","Debe mostrar error si el email es correcto pero la contraseña incorrecta","chromium","Fri Aug 08 16:26:39 GMT-03:00 2025","passed","Fri Aug 08 16:26:46 GMT-03:00 2025","Tests del login","","",""
"","4","Puede editar un cupón DNI Pago y ver confirmación","chromium","Fri Aug 08 16:17:03 GMT-03:00 2025","skipped","Fri Aug 08 16:17:03 GMT-03:00 2025","Gestión de Cupones > DNIsPago","","",""
"Verifica que un encargado pueda crear un nuevo cupón QR Pago y recibir confirmación de éxito","15555","Puede crear un nuevo cupón QR Pago y ver confirmación","chromium","Fri Aug 08 16:19:05 GMT-03:00 2025","passed","Fri Aug 08 16:19:20 GMT-03:00 2025","Gestión de Cupones > QR's Pago","","",""
"Verifica que un encargado pueda eliminar un cupón de un grupo de cupones DNI existente y reciba confirmación de éxito","14459","Puede eliminar un cupón de un grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 16:22:30 GMT-03:00 2025","passed","Fri Aug 08 16:22:44 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","","",""
